"","term","estimate","std.error","statistic","p.value","padj"
"504","PWY.6124..inosine.5.phosphate.biosynthesis.II.1224.5732587347.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.064194405298013,5.5957102376127,0.0114720746021689,0.990846809567928,1
"505","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.684.3292803158.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.0659133469668797,5.74554727480749,0.0114720746021689,0.990846809567928,1
"506","PWY.5695..inosine.5.phosphate.degradation.1551.1849524001.PWY.5695..inosine.5.phosphate.degradation",0.0349834170443689,3.04944120898221,0.0114720746021679,0.990846809567929,1
"507","PWY.6123..inosine.5.phosphate.biosynthesis.I.1429.4170984436.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.0435739092329004,3.79825888027861,0.0114720746021672,0.99084680956793,1
"508","PWY.6124..inosine.5.phosphate.biosynthesis.II.1505.5669363641.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.0312019298605415,2.71981580861123,0.0114720746021671,0.99084680956793,1
"509","PWY.5695..inosine.5.phosphate.degradation.1338.8431379779.PWY.5695..inosine.5.phosphate.degradation",0.0543893825447577,4.74102413302686,0.0114720746021669,0.99084680956793,1
"510","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.899.4827367936.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.114546695241323,9.98482830818502,0.0114720746021665,0.99084680956793,1
"511","PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I.718.3460345702.PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I",0.162187021300386,14.1375493905659,0.0114720746021665,0.99084680956793,1
"512","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.329.4007286159.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.607121193473932,52.9216566774483,0.0114720746021665,0.99084680956793,1
"513","PWY.7234..inosine.5.phosphate.biosynthesis.III.1085.8044096566.PWY.7234..inosine.5.phosphate.biosynthesis.III",0.0314530648225329,2.74170678916207,0.0114720746021662,0.99084680956793,1
"514","PWY.6124..inosine.5.phosphate.biosynthesis.II.1441.8202029842.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.0572475066662491,4.99016164482102,0.011472074602165,0.990846809567931,1
"515","PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I.562.6157380919.PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I",0.0560910649287299,4.88935670956542,0.0114720746021649,0.990846809567932,1
"516","PWY.8131..5.deoxyadenosine.degradation.II.93.0781492571.PWY.8131..5.deoxyadenosine.degradation.II",0.775255337085425,67.5776059666806,0.0114720746021643,0.990846809567932,1
"517","PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I.452.4035831021.PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I",0.0907113336876823,7.9071429391316,0.0114720746021628,0.990846809567933,1
"518","PWY.8131..5.deoxyadenosine.degradation.II.72.9927827633.PWY.8131..5.deoxyadenosine.degradation.II",0.583810642912787,50.8897181336987,0.011472074602162,0.990846809567934,1
"519","PWY.7234..inosine.5.phosphate.biosynthesis.III.721.9864676401.PWY.7234..inosine.5.phosphate.biosynthesis.III",0.0649304304547188,5.65986821970023,0.0114720746021465,0.990846809567946,1
"520","PWY.7234..inosine.5.phosphate.biosynthesis.III.688.2360299475.PWY.7234..inosine.5.phosphate.biosynthesis.III",0.0984365866086989,8.58053926828698,0.011472074601711,0.990846809568294,1
"521","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.546.0268018706.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.343314498214149,29.9261040512212,0.0114720746017101,0.990846809568294,1
"522","PWY.8131..5.deoxyadenosine.degradation.II.13.2617730749.PWY.8131..5.deoxyadenosine.degradation.II",1.28435464445248,111.954872073544,0.011472074601709,0.990846809568295,1
"523","PWY.6123..inosine.5.phosphate.biosynthesis.I.1348.7719309698.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.0982020945602394,8.56009902041803,0.0114720746017076,0.990846809568296,1
"524","PWY.6123..inosine.5.phosphate.biosynthesis.I.1131.1922974170.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.127705050613163,11.1318183543033,0.011472074601702,0.990846809568301,1
"525","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.892.9249030968.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.101430541045295,8.84151686306689,0.0114720746017003,0.990846809568302,1
"526","PWY.5695..inosine.5.phosphate.degradation.1696.0277222871.PWY.5695..inosine.5.phosphate.degradation",0.059637142199676,5.19846185369459,0.0114720746017,0.990846809568303,1
"527","PWY.6124..inosine.5.phosphate.biosynthesis.II.1694.7976156764.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.0802882435684939,6.99858102008837,0.0114720746016998,0.990846809568303,1
"528","PWY.5695..inosine.5.phosphate.degradation.1523.3707988937.PWY.5695..inosine.5.phosphate.degradation",0.05907278984836,5.14926827965466,0.0114720746016989,0.990846809568303,1
