Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
"88(1,H11)",101-4,12.5,4,290,11757.5,6,70.5,5,72,7049.5,731,3,22846,2394,,
"89(1,A12)",102-1,18.5,14,214.5,8355.5,10,109.5,7,112,6123.5,992,7,24366.5,3904,,
"90(1,B12)",102-1,18.5,18,220,8348.5,12,111.5,8,130,6546.5,1072,8,25177,4317,,
"91(1,C12)",102-2,16.5,15,277,8634.5,10,26.5,8.5,123,6378.5,934,7,24698.5,4779,,
"92(1,D12)",102-2,15.5,12.5,264.5,8722.5,15,17.5,8,93,6607.5,623,10,24320.5,6449,,
"93(1,E12)",102-3,15.5,12,244,9495,10,25.5,9,135,6340.5,927,9,24118.5,3741,,
"94(1,F12)",102-3,16.5,11,215,8968.5,12,19.5,8,120.5,6215.5,729,9,23138.5,3680,,
"95(1,G12)",102-4,13.5,6,232.5,8666.5,7,19.5,4,127,5896.5,903,3,23074.5,2603,,
"96(1,H12)",102-4,11.5,5,257,8874.5,3,21.5,5,146,5894,991,2,23056.5,1166,,
,,,,,,,,,,,,,,,,
DataType:,Count,,,,,,,,,,,,,,,
Location,Sample,TNF-alpha,IL-6,vWF-A2,MMP-2,IL-10,CCL2/JE/MCP-1,IL-1 beta/IL-1F2,S100A9,Comlement Component C9,ALCAM/CD166,IL-12/IL-23 p40,Cystatin C,Total Events,,
"1(1,A1)",Standard1,261,316,304,293,281,273,249,205,272,334,346,294,3428,,
"2(1,B1)",Standard1,306,289,293,285,304,299,264,207,302,311,341,323,3524,,
"3(1,C1)",Standard2,263,280,268,314,281,297,235,201,317,321,319,344,3440,,
"4(1,D1)",Standard2,415,466,474,506,420,440,407,315,469,456,485,561,5414,,
"5(1,E1)",Standard3,272,296,312,292,328,309,270,238,322,341,332,314,3626,,
"6(1,F1)",Standard3,284,298,335,357,312,331,268,201,334,319,359,324,3722,,
"7(1,G1)",Standard4,1,1,2,5,2,1,2,1,0,1,0,2,18,,
"8(1,H1)",Standard4,228,211,202,195,200,159,176,149,211,198,206,209,2344,,
"9(1,A2)",Standard5,302,320,294,323,313,276,279,237,346,338,348,335,3711,,
"10(1,B2)",Standard5,267,281,281,321,251,260,228,172,304,297,312,314,3288,,
"11(1,C2)",Standard6,231,230,243,243,230,268,211,170,278,239,256,249,2848,,
"12(1,D2)",Standard6,539,606,548,680,580,540,575,501,768,617,775,679,7408,,
"13(1,E2)",Standard7,234,241,216,252,227,240,225,169,248,245,302,262,2861,,
"14(1,F2)",Standard7,300,338,284,282,301,285,290,235,317,308,325,362,3627,,
"15(1,G2)",Background0,279,310,291,288,281,261,252,207,336,309,304,319,3437,,
"16(1,H2)",Background0,343,370,352,316,336,298,330,301,377,355,459,366,4203,,
"17(1,A3)",76-1,233,245,242,268,227,223,194,167,283,224,212,279,2797,,
"18(1,B3)",76-1,245,238,253,293,259,250,244,178,293,285,256,272,3066,,
"19(1,C3)",76-2,267,261,268,310,242,274,219,203,292,263,269,344,3212,,
"20(1,D3)",76-2,423,444,456,552,443,352,382,345,637,467,539,613,5653,,
"21(1,E3)",76-3,267,290,288,328,293,271,208,207,353,285,273,318,3381,,
"22(1,F3)",76-3,255,287,270,261,255,230,204,197,303,253,294,289,3098,,
"23(1,G3)",76-4,223,221,255,264,232,218,201,189,267,251,222,295,2838,,
"24(1,H3)",76-4,236,239,269,304,232,221,217,168,317,242,267,315,3027,,
"25(1,A4)",77-1,364,360,397,476,330,340,319,281,507,384,381,436,4575,,
"26(1,B4)",77-1,240,248,267,300,294,266,232,203,345,255,275,352,3277,,
"27(1,C4)",77-2,206,266,238,249,205,213,181,176,260,245,231,252,2722,,
"28(1,D4)",77-2,356,361,411,586,370,386,348,296,627,451,452,602,5246,,
"29(1,E4)",77-3,241,264,272,281,253,254,196,166,293,270,308,318,3116,,
"30(1,F4)",77-3,249,292,267,324,255,249,257,196,315,322,295,335,3356,,
